26-11-2015,4.7
28-11-2015,5.4
29-11-2015,4.9
01-12-2015,4.1
02-12-2015,4.4
03-12-2015,4.3
04-12-2015,4.4
05-12-2015,4.1
06-12-2015,4.1
07-12-2015,4.4
09-12-2015,4.4
11-12-2015,4.5
12-12-2015,4.5
13-12-2015,4.2
14-12-2015,4.3
15-12-2015,4.1
17-12-2015,4.5
18-12-2015,4
19-12-2015,4.8
20-12-2015,4.6
21-12-2015,4.3
22-12-2015,4.3
23-12-2015,4.1
24-12-2015,4
25-12-2015,4.6
26-12-2015,4.2
27-12-2015,4.1
28-12-2015,5.1
29-12-2015,4.5
31-12-2015,4.6
